procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 187140480  12440 3815992    0    0     0     2    0    0 38  1 61  0  0
 4  0      0 187067664  12440 3816000    0    0     0     0 14760 11122  3  2 95  0  0
 4  0      0 187076288  12440 3816000    0    0     0     0 14972 7945  3  2 95  0  0
 4  0      0 187069344  12440 3816000    0    0     0     0 12221 9351  3  2 95  0  0
 4  0      0 187065216  12440 3816000    0    0     0     0 12345 7656  3  2 94  0  0
 4  0      0 187072464  12440 3816000    0    0     0    36 12225 7701  3  2 95  0  0
 4  0      0 187075056  12440 3816000    0    0     0     0 12382 7967  3  2 95  0  0
 4  0      0 187071392  12440 3816016    0    0     0     0 12133 7757  3  3 94  0  0
 4  0      0 187077392  12440 3816016    0    0     0     0 13432 7880  3  3 94  0  0
 4  0      0 187073968  12440 3816016    0    0     0     0 13630 8663  3  2 95  0  0
 4  0      0 187072224  12440 3816016    0    0     0     0 14588 9358  3  2 94  0  0
 4  0      0 187070144  12448 3816016    0    0     0    48 12588 7278  3  2 95  0  0
 4  0      0 187069712  12448 3816016    0    0     0     0 13319 9051  3  2 94  0  0
 4  0      0 187070736  12448 3815572    0    0     0     0 14813 9891  3  2 95  0  0
 4  0      0 187074496  12448 3815588    0    0     0     0 13551 9687  3  2 94  0  0
 4  0      0 187068192  12448 3815588    0    0     0     0 16515 9331  3  2 95  0  0
 4  0      0 187073200  12448 3815588    0    0     0     0 14944 9513  3  2 94  0  0
 4  0      0 187072720  12448 3815588    0    0     0     0 13522 8155  3  2 95  0  0
 4  0      0 187072432  12456 3815588    0    0     0    44 14794 9356  3  2 94  0  0
 3  0      0 187078208  12456 3815588    0    0     0     0 13627 8162  3  2 95  0  0
 4  0      0 187075744  12456 3815588    0    0     0     0 13135 7952  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 187065440  12456 3815588    0    0     0     0 14539 8569  3  2 94  0  0
 4  1      0 187063040  12456 3815588    0    0     0     0 14364 8853  3  2 94  1  0
 4  0      0 187070144  12464 3815248    0    0     0    56 41115 23775  3  2 93  1  0
 4  0      0 187070176  12464 3815252    0    0     0     0 14344 7728  3  2 94  0  0
 4  1      0 187071328  12464 3815252    0    0     0     0 16280 7925  3  2 94  1  0
 4  1      0 187085248  12464 3815252    0    0     0     0 32881 19738  3  2 93  2  0
 4  0      0 187080160  12464 3815252    0    0     0    76 13762 8157  3  2 94  1  0
 4  0      0 187078176  12472 3815252    0    0     0    12 13396 8528  3  2 94  0  0
 4  0      0 187070112  12472 3815252    0    0     0     0 14694 9641  3  2 94  0  0
