procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 186340864  19300 4766720    0    0     0     0    0    0 38  0 62  0  0
 2  0      0 186321104  19300 4766720    0    0     0     0 51924 56247  4  6 90  0  0
16  0      0 186321184  19300 4766720    0    0     0     0 46670 54742  4  6 90  0  0
13  0      0 186317152  19300 4766720    0    0     0     0 52381 54929  4  6 90  0  0
 1  0      0 186314288  19308 4766704    0    0     0    68 48782 52441  4  6 90  0  0
16  0      0 186312896  19308 4766704    0    0     0     0 47366 56342  4  6 90  0  0
16  0      0 186308656  19308 4766704    0    0     0     0 45247 52635  4  6 90  0  0
 1  0      0 186313440  19308 4766740    0    0     0     0 48688 52778  4  6 90  0  0
13  0      0 186310944  19308 4766740    0    0     0     0 47288 54591  4  6 89  0  0
 7  0      0 186314112  19308 4766740    0    0     0     0 47652 56182  4  6 90  0  0
 2  0      0 186311456  19308 4766740    0    0     0     0 47418 54713  4  6 90  0  0
 1  0      0 186313216  19308 4766740    0    0     0     0 48893 56890  4  6 89  0  0
 2  0      0 186313392  19308 4766740    0    0     0     0 47473 53114  4  6 90  0  0
 4  0      0 186315344  19308 4766740    0    0     0     0 46406 52516  4  6 90  0  0
18  0      0 186312432  19308 4766740    0    0     0     0 51748 55109  4  6 89  0  0
 3  0      0 186312864  19308 4766772    0    0     0     0 47720 53613  4  6 90  0  0
16  0      0 186309888  19308 4766772    0    0     0     0 48004 54667  4  6 89  0  0
16  0      0 186312336  19308 4766776    0    0     0     0 45386 53059  4  6 90  0  0
16  0      0 186308784  19308 4766776    0    0     0     0 44149 53497  4  6 90  0  0
14  0      0 186311376  19316 4766776    0    0     0    40 48153 53958  4  6 90  0  0
16  0      0 186307200  19316 4766780    0    0     0     0 48583 51069  4  6 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 186308752  19316 4766780    0    0     0     0 50628 55137  4  6 89  0  0
16  0      0 186312256  19316 4766780    0    0     0     0 46227 53072  4  6 90  0  0
16  0      0 186310832  19316 4766780    0    0     0     0 50200 52524  4  6 90  0  0
 4  0      0 186313536  19316 4766780    0    0     0     0 46513 53013  4  6 90  0  0
15  0      0 186312624  19316 4766780    0    0     0     0 48202 53251  4  6 90  0  0
16  0      0 186314096  19316 4766780    0    0     0     0 51239 54236  4  6 89  0  0
16  0      0 186311504  19316 4766780    0    0     0     0 46803 51544  4  6 90  0  0
 3  0      0 186312560  19324 4766772    0    0     0    40 48353 54428  4  6 89  0  0
16  0      0 186313504  19324 4766780    0    0     0    32 48532 53059  4  6 90  0  0
 2  0      0 186308336  19324 4766780    0    0     0     0 47190 50259  4  6 90  0  0
 3  0      0 186309344  19324 4766780    0    0     0     0 46714 52704  4  6 90  0  0
16  0      0 186310720  19324 4766780    0    0     0     0 50141 54910  4  6 89  0  0
16  0      0 186315216  19324 4766780    0    0     0     0 47693 52532  4  6 90  0  0
16  0      0 186313168  19332 4766780    0    0     0    56 44488 50244  4  6 90  0  0
 3  0      0 186313312  19332 4766780    0    0     0     0 44348 51997  4  6 90  0  0
 1  0      0 186308432  19332 4766780    0    0     0     0 53105 56488  4  6 89  0  0
15  0      0 186311360  19332 4766780    0    0     0     0 51951 53102  4  6 90  0  0
16  0      0 186311488  19332 4766780    0    0     0     0 45432 51119  4  6 89  0  0
 1  0      0 186313088  19332 4766780    0    0     0     0 46078 52353  4  6 90  0  0
 2  0      0 186315312  19336 4766776    0    0     0     4 44594 50565  4  6 90  0  0
 2  0      0 186312608  19336 4766780    0    0     0     0 45795 51878  4  6 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 186310768  19336 4766784    0    0     0     0 50146 71619  5  6 89  0  0
15  0      0 186308608  19336 4766788    0    0     0     0 50155 59067  4  6 90  0  0
 1  0      0 186310560  19336 4766788    0    0     0     0 44532 54209  4  6 90  0  0
12  0      0 186309680  19344 4766780    0    0     0    48 50514 54286  4  6 90  0  0
16  0      0 186311168  19344 4766788    0    0     0     0 48672 56287  4  6 90  0  0
 6  0      0 186311552  19344 4766788    0    0     0     0 45082 54156  4  6 90  0  0
 1  0      0 186308832  19344 4766788    0    0     0     0 50379 53355  4  6 90  0  0
16  0      0 186312464  19344 4766788    0    0     0     0 44967 51954  4  6 90  0  0
16  0      0 186313216  19344 4766788    0    0     0     0 46559 54676  4  6 90  0  0
 1  0      0 186312992  19352 4766788    0    0     0    40 47255 54548  4  6 90  0  0
 1  0      0 186313824  19352 4766788    0    0     0     0 48143 52986  4  6 90  0  0
 1  0      0 186311024  19352 4766788    0    0     0     0 46156 55130  4  6 90  0  0
 1  0      0 186310512  19352 4766788    0    0     0     0 47387 55395  4  6 89  0  0
 9  0      0 186313312  19352 4766788    0    0     0     0 43275 52346  4  6 90  0  0
 1  0      0 186314192  19352 4766788    0    0     0     0 46580 54245  4  6 90  0  0
16  0      0 186312704  19352 4766820    0    0     0     0 45745 54193  4  6 90  0  0
16  0      0 186310016  19352 4766880    0    0     0     0 46212 52789  4  6 90  0  0
16  0      0 186310048  19352 4766900    0    0     0     0 43360 52994  4  6 90  0  0
 3  0      0 186310272  19352 4766936    0    0     0     0 48213 55810  4  6 90  0  0
 0  0      0 186316448  19352 4766936    0    0     0     0 3583 3354  0  0 99  0  0
 0  0      0 186316384  19352 4766956    0    0     0     0  258  268  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 186288096  19360 4766956    0    0     0    52 112458 100508  6 35 59  0  0
61  0      0 186283776  19360 4766956    0    0     0    60 119351 103742  6 36 58  0  0
60  0      0 186283568  19360 4766956    0    0     0     0 110927 85923  6 30 65  0  0
53  0      0 186286752  19360 4766956    0    0     0     0 103634 94829  6 32 62  0  0
16  0      0 186284880  19360 4766956    0    0     0     0 133579 94598  6 34 60  0  0
63  0      0 186285328  19360 4766956    0    0     0     0 113505 101402  6 37 57  0  0
21  0      0 186288032  19360 4766956    0    0     0     0 147599 103616  6 39 55  0  0
30  0      0 186286960  19360 4766956    0    0     0     0 110842 97758  6 34 60  0  0
45  0      0 186284384  19360 4766956    0    0     0     0 141002 99082  6 37 57  0  0
14  0      0 186284832  19360 4766956    0    0     0     0 97880 91921  6 32 62  0  0
50  0      0 186284800  19360 4766956    0    0     0     0 137645 108822  6 39 55  0  0
16  0      0 186282720  19360 4767020    0    0     0    36 107079 94349  6 32 62  0  0
16  0      0 186276288  19360 4767024    0    0     0     0 137532 98281  6 36 58  0  0
71  0      0 186278896  19360 4767060    0    0     0     0 120785 101765  6 36 58  0  0
63  0      0 186283904  19360 4767188    0    0     0     0 86247 80946  6 26 68  0  0
68  0      0 186287104  19360 4767188    0    0     0     0 102173 86830  6 30 64  0  0
29  0      0 186284000  19368 4767188    0    0     0    56 142289 100178  6 37 57  0  0
16  0      0 186287360  19368 4767188    0    0     0     0 115906 92211  6 32 62  0  0
57  0      0 186282128  19368 4767188    0    0     0     0 157866 107154  6 40 54  0  0
16  0      0 186280096  19368 4767188    0    0     0     0 121977 96186  6 28 66  0  0
16  0      0 186280960  19368 4767252    0    0     0     0 114614 84370  6 31 64  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0      0 186281728  19368 4767252    0    0     0     0 133040 102786  6 37 57  0  0
74  0      0 186277376  19368 4767256    0    0     0     0 117548 85252  6 29 65  0  0
16  0      0 186280368  19376 4767248    0    0     0    40 121436 98129  6 36 58  0  0
72  0      0 186282176  19376 4767260    0    0     0     0 136601 109524  6 41 53  0  0
70  0      0 186285808  19376 4767260    0    0     0     0 103808 96216  6 34 60  0  0
11  0      0 186285568  19384 4767252    0    0     0    96 113895 101106  6 37 57  0  0
16  0      0 186281312  19384 4767264    0    0     0     0 133450 90228  6 33 62  0  0
16  0      0 186283664  19384 4767264    0    0     0     0 116798 99386  6 37 57  0  0
17  0      0 186282736  19384 4767264    0    0     0     0 105051 87899  6 31 63  0  0
16  0      0 186280480  19384 4767264    0    0     0     0 131715 95263  6 35 59  0  0
50  0      0 186287648  19384 4767264    0    0     0     0 124126 93575  6 33 61  0  0
49  0      0 186284416  19392 4767264    0    0     0    16 108040 90470  6 33 61  0  0
61  0      0 186284224  19392 4767264    0    0     0     0 133748 99109  6 37 57  0  0
29  0      0 186286480  19392 4767264    0    0     0     0 104543 89270  6 32 62  0  0
10  0      0 186285648  19392 4767264    0    0     0     0 109713 93597  6 34 60  0  0
15  0      0 186281072  19392 4767264    0    0     0     0 128251 107582  6 40 54  0  0
18  0      0 186281152  19392 4767264    0    0     0     0 130542 102255  6 36 58  0  0
54  0      0 186280016  19392 4767264    0    0     0     0 80832 73276  6 25 70  0  0
72  0      0 186281488  19392 4767264    0    0     0     0 136835 98837  6 35 58  0  0
11  0      0 186282016  19392 4767264    0    0     0     0 153182 109308  6 41 53  0  0
16  0      0 186281744  19392 4767264    0    0     0     0 125730 96234  6 35 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
46  0      0 186284576  19392 4767264    0    0     0     0 118846 97882  6 35 59  0  0
16  0      0 186284080  19392 4767300    0    0     0     0 105995 89383  6 31 63  0  0
28  0      0 186282592  19392 4767300    0    0     0     0 114425 98279  6 35 59  0  0
15  0      0 186283632  19392 4767300    0    0     0     0 145687 101454  6 37 57  0  0
75  0      0 186282896  19392 4767300    0    0     0    44 131403 97819  6 35 59  0  0
36  0      0 186285456  19392 4767300    0    0     0     0 133298 107496  6 43 51  0  0
67  0      0 186280544  19400 4767300    0    0     0    52 132820 93357  6 32 62  0  0
35  0      0 186283664  19400 4767300    0    0     0     0 111596 95271  6 35 59  0  0
18  0      0 186284128  19400 4767300    0    0     0     0 129075 111779  6 43 51  0  0
72  0      0 186285536  19400 4767300    0    0     0     0 126097 111217  6 41 53  0  0
17  0      0 186281184  19400 4767300    0    0     0     0 131273 98637  6 36 58  0  0
16  0      0 186285952  19400 4767300    0    0     0     0 95315 82737  6 30 64  0  0
18  0      0 186287376  19400 4767300    0    0     0     0 105288 92158  6 32 62  0  0
 6  0      0 186287808  19400 4767332    0    0     0     0 118712 100475  6 37 57  0  0
17  0      0 186285792  19400 4767332    0    0     0     0 121139 102467  6 38 56  0  0
16  0      0 186282592  19400 4767364    0    0     0     0 119952 92650  6 34 60  0  0
49  0      0 186285248  19400 4767364    0    0     0     0 125472 96340  6 35 59  0  0
14  0      0 186287840  19408 4767364    0    0     0    44 125889 100724  6 37 57  0  0
 0  0      0 186297184  19408 4767364    0    0     0     0 5191 7287  0  1 98  0  0
 0  0      0 186296608  19408 4767396    0    0     0     0  159  140  0  0 100  0  0
70  0      0 186285472  19408 4767572    0    0     0     0 99623 86311  6 30 64  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0      0 186285712  19408 4767572    0    0     0     0 113908 96006  6 34 60  0  0
16  0      0 186291024  19408 4767572    0    0     0     0 101646 92886  6 34 60  0  0
16  0      0 186288416  19408 4767576    0    0     0     0 102169 82903  6 30 64  0  0
22  0      0 186288928  19408 4767580    0    0     0     0 129615 100164  6 38 57  0  0
16  0      0 186285680  19416 4767580    0    0     0    12 120009 100283  6 36 57  0  0
16  0      0 186286720  19416 4767580    0    0     0     0 120479 97250  6 35 60  0  0
19  0      0 186285744  19416 4767580    0    0     0     0 124768 104465  6 38 56  0  0
65  0      0 186287872  19416 4767580    0    0     0     0 137078 115821  6 45 50  0  0
76  0      0 186283424  19416 4767580    0    0     0     0 118834 104967  6 39 55  0  0
75  0      0 186287792  19416 4767616    0    0     0     0 101527 95406  6 35 59  0  0
21  0      0 186285056  19416 4767680    0    0     0     0 113454 99107  6 36 58  0  0
16  0      0 186283776  19416 4767584    0    0     0     0 140787 100987  6 37 57  0  0
16  0      0 186279984  19416 4767584    0    0     0     0 122197 99611  6 36 58  0  0
16  0      0 186281136  19416 4767584    0    0     0     0 123168 86926  6 28 66  0  0
64  0      0 186284896  19424 4767584    0    0     0    40 101176 92704  6 35 59  0  0
16  0      0 186282656  19424 4767584    0    0     0     0 125872 101374  6 38 56  0  0
18  0      0 186286720  19424 4767584    0    0     0     0 110775 97720  6 35 59  0  0
62  0      0 186283744  19424 4767644    0    0     0     0 126490 104975  6 40 54  0  0
30  0      0 186287808  19424 4767644    0    0     0    20 121306 103229  6 39 55  0  0
66  0      0 186285920  19424 4767644    0    0     0     0 98650 79374  6 28 66  0  0
77  0      0 186285024  19424 4767644    0    0     0     0 149125 103900  6 37 57  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
