procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 186977312   6536 3886876    0    0     0     8    0    0 35  0 65  0  0
13  0      0 186933040   6536 3886880    0    0     0     0 135456 98106  8 44 48  0  0
43  0      0 186933344   6536 3886884    0    0     0     0 263476 97442 10 37 53  0  0
37  0      0 186927408   6536 3886888    0    0     0     0 186538 91990  9 42 49  0  0
32  0      0 186929104   6536 3887124    0    0     0     0 148598 91854  9 36 55  0  0
62  0      0 186930944   6536 3887124    0    0     0     0 172653 90470  9 39 52  0  0
73  0      0 186926832   6536 3887128    0    0     0     0 212920 94971  9 45 46  0  0
33  0      0 186927792   6536 3887128    0    0     0     0 155427 91596  8 44 48  0  0
75  0      0 186926848   6536 3887128    0    0     0     0 210035 105240  9 47 44  0  0
62  0      0 186928240   6544 3887128    0    0     0    68 185586 101925 10 45 46  0  0
32  1      0 186920976   6572 3891980    0    0  5252     0 177631 103967 10 41 49  0  0
44  0      0 186897968   6660 3915640    0    0 22104     0 187064 109174  9 48 43  0  0
74  0      0 186897104   6660 3915640    0    0     0     0 200098 93343  9 41 50  0  0
36  0      0 186901152   6660 3915640    0    0     0     0 165932 91418  9 43 48  0  0
31  0      0 186896512   6668 3915632    0    0     0    68 172842 100554  9 48 43  0  0
78  0      0 186897248   6668 3915640    0    0     0     0 185727 108383  9 50 41  0  0
50  0      0 186896176   6668 3915644    0    0     0     0 250031 103451  9 43 47  0  0
59  0      0 186897200   6668 3915644    0    0     0     0 176249 105305  9 48 43  0  0
10  0      0 186900480   6668 3915644    0    0     0     0 178572 97622  9 44 47  0  0
31  0      0 186899584   6668 3915644    0    0     0    36 182837 93028  9 39 51  0  0
20  0      0 186902688   6668 3915644    0    0     0     0 162470 96501  8 49 43  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0      0 186900064   6668 3915644    0    0     0     0 170109 90810  9 38 53  0  0
11  0      0 186900336   6668 3915648    0    0     0     0 221546 98447  9 41 49  0  0
51  0      0 186901248   6668 3915648    0    0     0     0 170253 89141  9 41 50  0  0
32  0      0 186899648   6672 3915644    0    0     0    56 212198 103223  9 46 45  0  0
32  0      0 186902416   6672 3915648    0    0     0     0 177954 105678  9 49 42  0  0
60  0      0 186899568   6672 3915648    0    0     0     0 160840 91189  9 41 50  0  0
56  0      0 186901136   6672 3915648    0    0     0     0 169921 101183  9 47 44  0  0
44  0      0 186901040   6672 3915652    0    0     0     0 179503 112988  9 50 42  0  0
32  0      0 186903520   6672 3915652    0    0     0     0 189717 109761  9 48 43  0  0
75  0      0 186903584   6672 3915652    0    0     0     0 211791 101013  9 44 47  0  0
32  0      0 186901696   6672 3915656    0    0     0     0 173722 95321  9 42 49  0  0
11  0      0 186901120   6672 3915656    0    0     0     0 177545 97189  9 43 48  0  0
31  0      0 186902656   6672 3915660    0    0     0     0 216585 98676  9 46 45  0  0
83  0      0 186901920   6672 3915664    0    0     0     0 181829 96664  9 40 51  0  0
14  0      0 186900688   6672 3915664    0    0     0     0 185927 98315  9 44 47  0  0
28  0      0 186904032   6672 3915664    0    0     0     0 202163 104437  9 46 45  0  0
29  0      0 186901568   6672 3915668    0    0     0     0 177589 95755  8 46 46  0  0
30  0      0 186900288   6672 3915668    0    0     0     0 183719 104644  9 46 45  0  0
59  0      0 186901456   6672 3915668    0    0     0     0 191786 85582  9 38 53  0  0
53  0      0 186903504   6672 3915668    0    0     0     0 186239 103175  9 42 48  0  0
36  0      0 186905664   6672 3915668    0    0     0     0 168627 97681  9 44 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
58  0      0 186902320   6672 3915668    0    0     0     0 212290 98043  9 45 46  0  0
18  0      0 186903184   6672 3915676    0    0     0     0 164589 91427  8 41 50  0  0
36  0      0 186900912   6672 3915676    0    0     0    16 192571 110078  9 48 43  0  0
51  0      0 186902704   6688 3915844    0    0     0    56 160206 100612  9 45 46  0  0
15  0      0 186903408   6688 3915848    0    0     0     0 200063 107885  9 50 41  0  0
76  0      0 186901296   6688 3915852    0    0     0     0 169288 101449  9 40 50  0  0
85  0      0 186900032   6688 3915852    0    0     0     0 227325 101556  9 42 49  0  0
65  0      0 186899536   6688 3915852    0    0     0     0 162695 96097  9 43 48  0  0
40  0      0 186901152   6696 3915856    0    0     0    52 199351 109301  9 48 43  0  0
32  0      0 186901904   6696 3915864    0    0     0     0 162122 95406  9 43 48  0  0
63  0      0 186901760   6696 3915864    0    0     0     0 188221 107321  9 48 43  0  0
32  0      0 186900496   6696 3915864    0    0     0     0 211872 102302 10 44 47  0  0
22  0      0 186898736   6696 3915864    0    0     0     0 210786 107010  9 48 43  0  0
64  0      0 186899136   6696 3915656    0    0     0     0 190411 107080  9 47 44  0  0
31  0      0 186900800   6696 3915656    0    0     0     0 163382 99518  9 45 46  0  0
21  0      0 186902528   6696 3915656    0    0     0     0 207921 97654  9 46 45  0  0
37  0      0 186898496   6696 3915656    0    0     0     0 199836 103939  9 45 46  0  0
31  0      0 186900512   6696 3915656    0    0     0     0 174685 104551  9 44 47  0  0
48  0      0 186902464   6704 3915648    0    0     0    40 151914 93361  9 40 51  0  0
