procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 377964864      0 7982980    0    0     0     0    0    0  0  0 100  0  0
27  0      0 377915904      0 7982980    0    0     0     0 379753 313745  8  3 90  0  0
 1  0      0 377922400      0 7982984    0    0     0     0 508671 342256 10  3 87  0  0
 1  0      0 377919392      0 7982988    0    0     0     0 539981 342704 10  3 87  0  0
 1  0      0 377876672      0 7982988    0    0     0     0 511616 481232 10  6 84  0  0
63  0      0 377884128      0 7982988    0    0     0     0 499395 491283 10  6 84  0  0
81  0      0 377877216      0 7982988    0    0     0     0 547522 494295 10  6 84  0  0
63  0      0 377883200      0 7982988    0    0     0     0 513100 499673 11  6 83  0  0
 1  0      0 377879424      0 7982988    0    0     0     0 544800 516354 11  6 83  0  0
 1  0      0 377881984      0 7982988    0    0     0     0 513329 509285 11  6 82  0  0
53  0      0 377879744      0 7982988    0    0     0     0 570280 516285 11  6 83  0  0
61  0      0 377880096      0 7982988    0    0     0     0 539681 520940 11  6 82  0  0
60  0      0 377879456      0 7982988    0    0     0     0 525851 521217 12  6 82  0  0
27  0      0 377873792      0 7982988    0    0     0     0 561875 520709 11  6 83  0  0
69  0      0 377873792      0 7982992    0    0     0     0 529388 530153 12  6 82  0  0
50  0      0 377874752      0 7982992    0    0     0     0 575225 531609 12  7 82  0  0
 3  0      0 377869408      0 7982992    0    0     0     0 565213 556248 12  7 82  0  0
 1  0      0 377868512      0 7982992    0    0     0     0 585725 551196 12  7 82  0  0
91  0      0 377867648      0 7982992    0    0     0     0 570939 549449 12  7 82  0  0
61  0      0 377863616      0 7982992    0    0     0     0 560066 555006 11  6 82  0  0
52  0      0 377862080      0 7982992    0    0     0     0 572675 553135 12  7 81  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 377865888      0 7982992    0    0     0     0 558529 562940 12  6 82  0  0
49  0      0 377862848      0 7982992    0    0     0     0 549519 567120 12  7 81  0  0
21  0      0 377860160      0 7982992    0    0     0     0 569904 557936 12  7 81  0  0
