procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 379043328      0 7941396    0    0     0     0    0    0  0  0 100  0  0
 4  0      0 379033504      0 7941396    0    0     0     0 21147 63484  1  1 98  0  0
 4  0      0 379031360      0 7941396    0    0     0     0 46802 154963  1  1 98  0  0
 3  0      0 379030144      0 7941396    0    0     0     0 23898 86543  1  1 98  0  0
 4  0      0 379030016      0 7941396    0    0     0     0 24018 83752  1  1 98  0  0
 0  0      0 379030560      0 7941396    0    0     0     0 22925 84512  1  1 98  0  0
 4  0      0 379028288      0 7941396    0    0     0     0 22307 72668  1  1 98  0  0
 4  0      0 379027680      0 7941396    0    0     0     0 23690 82578  1  1 98  0  0
 4  0      0 379027968      0 7941396    0    0     0     0 23284 83848  1  1 98  0  0
 4  0      0 379027648      0 7941396    0    0     0     0 24304 82843  1  1 98  0  0
 4  0      0 379027136      0 7941396    0    0     0     0 23568 82106  1  1 98  0  0
 4  0      0 379025856      0 7941396    0    0     0     0 23929 85945  1  1 98  0  0
 5  0      0 379027872      0 7941396    0    0     0     0 24616 87405  1  1 98  0  0
 4  0      0 379028416      0 7941396    0    0     0     0 24157 85119  1  1 98  0  0
 5  0      0 379028192      0 7941396    0    0     0     0 23830 85612  1  1 98  0  0
 4  0      0 379027840      0 7941396    0    0     0     0 24046 85007  1  1 98  0  0
 3  0      0 379027744      0 7941396    0    0     0     0 23789 84686  1  1 98  0  0
 4  0      0 379028128      0 7941396    0    0     0     0 23762 86230  1  1 98  0  0
 4  0      0 379027392      0 7941396    0    0     0     0 24441 86661  1  1 98  0  0
 3  0      0 379026432      0 7941396    0    0     0     0 24033 88191  1  1 98  0  0
 3  0      0 379025984      0 7941396    0    0     0     0 24448 89625  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 379027328      0 7941396    0    0     0     0 23678 89879  1  1 98  0  0
 3  0      0 379027008      0 7941396    0    0     0     0 23917 87725  1  1 98  0  0
 3  0      0 379027520      0 7941396    0    0     0     0 25046 90436  1  1 98  0  0
 4  0      0 379025600      0 7941396    0    0     0     0 25144 100098  1  1 98  0  0
 4  0      0 379025824      0 7941396    0    0     0     0 25325 98656  1  1 98  0  0
 4  0      0 379024224      0 7941396    0    0     0     0 24185 86844  1  1 98  0  0
 4  0      0 379024224      0 7941396    0    0     0     0 23473 84364  1  1 98  0  0
 4  0      0 379024992      0 7941396    0    0     0     0 24114 86296  1  1 98  0  0
 4  0      0 379024736      0 7941396    0    0     0     0 24240 83116  1  1 98  0  0
 4  0      0 379025952      0 7941396    0    0     0     0 23921 87732  1  1 98  0  0
 3  0      0 379025344      0 7941396    0    0     0     0 23699 87852  1  1 98  0  0
 3  0      0 379025472      0 7941396    0    0     0     0 24265 90433  1  1 98  0  0
 3  0      0 379024480      0 7941396    0    0     0     0 24474 87488  1  1 98  0  0
 3  0      0 379025120      0 7941396    0    0     0     0 23864 90594  1  1 98  0  0
 5  0      0 379024736      0 7941396    0    0     0     0 23794 88407  1  1 98  0  0
 3  0      0 379025088      0 7941396    0    0     0     0 23988 89444  1  1 98  0  0
 5  0      0 379026368      0 7941396    0    0     0     0 24636 86966  1  1 98  0  0
 4  0      0 379026016      0 7941396    0    0     0     0 24547 87327  1  1 98  0  0
 4  0      0 379024032      0 7941396    0    0     0     0 23949 87400  1  1 98  0  0
 2  0      0 379024256      0 7941396    0    0     0     0 23728 86066  1  1 98  0  0
 4  0      0 379023584      0 7941396    0    0     0     0 24402 87480  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 379022848      0 7941396    0    0     0     0 24424 86875  1  1 98  0  0
 3  0      0 379022240      0 7941396    0    0     0     0 25544 86407  1  1 98  0  0
 3  0      0 379023520      0 7941396    0    0     0     0 24892 92404  1  1 98  0  0
 3  0      0 379024800      0 7941396    0    0     0     0 24527 91288  1  1 98  0  0
 3  0      0 379024832      0 7941396    0    0     0     0 24817 89917  1  1 98  0  0
 5  0      0 379025120      0 7941396    0    0     0     0 24520 87336  1  1 98  0  0
 6  0      0 379024256      0 7941396    0    0     0     0 23623 86572  1  1 98  0  0
 4  0      0 379024992      0 7941396    0    0     0     0 23787 86899  1  1 98  0  0
 4  0      0 379025504      0 7941396    0    0     0     0 23807 86461  1  1 98  0  0
 5  0      0 379025152      0 7941396    0    0     0     0 23953 88615  1  1 98  0  0
 5  0      0 379023936      0 7941396    0    0     0     0 23597 87203  1  1 98  0  0
 5  0      0 379023296      0 7941396    0    0     0     0 23260 85604  1  1 98  0  0
 6  0      0 379022848      0 7941396    0    0     0     0 24714 87733  1  1 98  0  0
 5  0      0 379023744      0 7941396    0    0     0     0 23621 85532  1  1 98  0  0
 3  0      0 379024000      0 7941396    0    0     0     0 24062 83342  1  1 98  0  0
 5  0      0 379022560      0 7941396    0    0     0     0 23695 82568  1  1 98  0  0
 3  0      0 379022656      0 7941396    0    0     0     0 23382 82972  1  1 98  0  0
 4  0      0 379023040      0 7941396    0    0     0     0 23902 85458  1  1 98  0  0
