procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 379250560      0 7923824    0    0     0     0    0    0  0  0 100  0  0
 1  0      0 379241344      0 7928336    0    0     0     0 15272 147011  0  0 99  0  0
 1  0      0 379240640      0 7928336    0    0     0     0 14271 151845  0  0 99  0  0
 1  0      0 379240832      0 7928336    0    0     0     0 13060 133766  0  0 99  0  0
 1  0      0 379240832      0 7928336    0    0     0     0 14372 155427  0  0 99  0  0
 2  0      0 379240832      0 7928336    0    0     0     0 13575 141547  0  0 99  0  0
 2  0      0 379240832      0 7928336    0    0     0     0 12811 128136  0  0 99  0  0
 1  0      0 379240832      0 7928336    0    0     0     0 12873 127264  0  0 99  0  0
 2  0      0 379241024      0 7928336    0    0     0     0 13045 128994  0  0 99  0  0
 3  0      0 379241024      0 7928336    0    0     0     0 14558 157520  0  0 99  0  0
 1  0      0 379240672      0 7928336    0    0     0     0 23725 154161  1  1 99  0  0
 2  0      0 379242176      0 7928336    0    0     0     0 19741 151787  0  0 99  0  0
 1  0      0 379242688      0 7928336    0    0     0     0 13786 134320  0  0 99  0  0
 1  0      0 379242688      0 7928336    0    0     0     0 13489 133047  0  0 99  0  0
 1  0      0 379242688      0 7928336    0    0     0     0 13479 131463  0  0 99  0  0
 1  0      0 379242944      0 7928336    0    0     0     0 13454 130839  0  0 99  0  0
 1  0      0 379242944      0 7928336    0    0     0     0 13268 134418  0  0 99  0  0
 1  0      0 379242944      0 7928336    0    0     0     0 13302 133860  0  0 99  0  0
 1  0      0 379243392      0 7928336    0    0     0     0 14317 153462  0  0 99  0  0
 1  0      0 379243392      0 7928336    0    0     0     0 14543 156955  0  0 99  0  0
 1  0      0 379242880      0 7928336    0    0     0     0 14488 155819  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 379243232      0 7928336    0    0     0     0 14672 157674  0  0 99  0  0
 2  0      0 379243232      0 7928336    0    0     0     0 14467 157776  0  0 99  0  0
 3  0      0 379243232      0 7928336    0    0     0     0 14466 156873  0  0 99  0  0
 1  0      0 379243232      0 7928336    0    0     0     0 14325 156907  0  0 99  0  0
 1  0      0 379243232      0 7928336    0    0     0     0 14713 156816  0  0 99  0  0
 2  0      0 379243232      0 7928336    0    0     0     0 14762 157126  0  0 99  0  0
 2  0      0 379243232      0 7928336    0    0     0     0 14614 156800  0  0 99  0  0
 1  0      0 379243232      0 7928336    0    0     0     0 14613 156629  0  0 99  0  0
 2  0      0 379243232      0 7928336    0    0     0     0 14756 157470  0  0 99  0  0
 1  0      0 379255488      0 7930316    0    0     0     0 14821 158138  0  0 99  0  0
 2  0      0 379255488      0 7930316    0    0     0     0 14570 157464  0  0 99  0  0
 3  0      0 379255488      0 7930316    0    0     0     0 14421 156187  0  0 99  0  0
 2  0      0 379255744      0 7930316    0    0     0     0 14602 156128  0  0 99  0  0
 1  0      0 379255744      0 7930316    0    0     0     0 14524 155732  0  0 99  0  0
 2  0      0 379255872      0 7930316    0    0     0     0 14405 155444  0  0 99  0  0
 2  0      0 379255872      0 7930316    0    0     0     0 14395 155102  0  0 99  0  0
 1  0      0 379256000      0 7930316    0    0     0     0 14544 156483  0  0 99  0  0
 1  0      0 379256000      0 7930316    0    0     0     0 14632 158137  0  0 99  0  0
 1  0      0 379256096      0 7930316    0    0     0     0 14498 158163  0  0 99  0  0
 1  0      0 379256096      0 7930316    0    0     0     0 14829 157994  0  0 99  0  0
 2  0      0 379256096      0 7930316    0    0     0     0 14594 157139  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 379256096      0 7930316    0    0     0     0 14589 156937  0  0 99  0  0
 2  0      0 379256096      0 7930316    0    0     0     0 14608 156890  0  0 99  0  0
 1  0      0 379256096      0 7930316    0    0     0     0 14606 157081  0  0 99  0  0
 3  0      0 379256064      0 7930316    0    0     0     0 14755 156072  0  0 99  0  0
 2  0      0 379256064      0 7930316    0    0     0     0 14590 155811  0  0 99  0  0
 1  0      0 379256064      0 7930316    0    0     0     0 14478 156892  0  0 99  0  0
 1  0      0 379256064      0 7930316    0    0     0     0 14709 156422  0  0 99  0  0
 2  0      0 379256064      0 7930316    0    0     0     0 14701 156583  0  0 99  0  0
 2  0      0 379256064      0 7930316    0    0     0     0 14631 156625  0  0 99  0  0
 1  0      0 379256064      0 7930316    0    0     0     0 14513 156722  0  0 99  0  0
 2  0      0 379255936      0 7930316    0    0     0     0 14612 160248  0  0 99  0  0
 1  0      0 379255936      0 7930316    0    0     0     0 14847 161667  0  0 99  0  0
 2  0      0 379255936      0 7930316    0    0     0     0 14630 161308  0  0 99  0  0
 1  0      0 379254400      0 7930316    0    0     0     0 14706 160831  0  0 99  0  0
 2  0      0 379254400      0 7930316    0    0     0     0 14690 160690  0  0 99  0  0
 1  0      0 379254400      0 7930316    0    0     0     0 14764 161081  0  0 99  0  0
 2  0      0 379254400      0 7930316    0    0     0     0 14670 161011  0  0 99  0  0
 1  0      0 379254400      0 7930316    0    0     0     0 14696 160832  0  0 99  0  0
 1  0      0 379254400      0 7930316    0    0     0     0 14569 161121  0  0 99  0  0
 0  0      0 379256448      0 7930316    0    0     0     0  614 3158  0  0 100  0  0
 0  0      0 379256448      0 7930316    0    0     0     0  136  190  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 379254528      0 7930316    0    0     0     0 8149 68335  0  1 99  0  0
 2  0      0 379254624      0 7930316    0    0     0     0 8120 69986  0  1 99  0  0
 2  0      0 379254624      0 7930316    0    0     0     0 8402 69745  0  1 99  0  0
