procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 379035488      0 7940240    0    0     0     0    0    0  0  0 100  0  0
 3  0      0 379030880      0 7940240    0    0     0     0 4948 16570  1  1 99  0  0
 3  0      0 379028768      0 7940240    0    0     0     0 5108 20041  1  1 99  0  0
 3  0      0 379028416      0 7940240    0    0     0     0 4464 22221  1  1 99  0  0
 3  0      0 379025760      0 7940240    0    0     0     0 3993 13486  1  1 99  0  0
 4  0      0 379025632      0 7940244    0    0     0     0 5732 11852  1  1 98  0  0
 3  0      0 379024352      0 7940244    0    0     0     0 4272 19828  1  1 99  0  0
 3  0      0 379024896      0 7940244    0    0     0     0 4767 23458  1  1 99  0  0
 3  0      0 379025056      0 7940244    0    0     0     0 5048 24094  1  1 99  0  0
 3  0      0 379026080      0 7940244    0    0     0     0 4855 23993  1  1 99  0  0
 3  0      0 379026496      0 7940244    0    0     0     0 4919 30496  1  1 99  0  0
 2  0      0 379026144      0 7940244    0    0     0     0 4923 29773  1  1 99  0  0
 2  0      0 379025792      0 7940244    0    0     0     0 5215 32061  1  1 99  0  0
 3  0      0 379025792      0 7940244    0    0     0     0 4868 28779  1  1 99  0  0
 3  0      0 379025568      0 7940244    0    0     0     0 4787 30270  1  1 99  0  0
 3  0      0 379025952      0 7940244    0    0     0     0 5074 35076  1  1 99  0  0
 3  0      0 379025088      0 7940244    0    0     0     0 4895 34667  1  1 99  0  0
 3  0      0 379024736      0 7940244    0    0     0     0 4839 34608  1  1 99  0  0
 3  0      0 379025408      0 7940244    0    0     0     0 4755 33082  1  1 99  0  0
 3  0      0 379027712      0 7940244    0    0     0     0 4764 33705  1  1 99  0  0
 3  0      0 379037696      0 7940644    0    0     0     0 5223 33761  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 379037440      0 7940644    0    0     0     0 5061 33175  1  1 99  0  0
 3  0      0 379038720      0 7940644    0    0     0     0 5069 32818  1  1 99  0  0
 2  0      0 379037504      0 7940644    0    0     0     0 4832 26781  1  1 99  0  0
 3  0      0 379036544      0 7940644    0    0     0     0 4691 15116  1  1 98  0  0
 3  0      0 379037056      0 7940644    0    0     0     0 4604 14969  1  1 98  0  0
 3  0      0 379037216      0 7940644    0    0     0     0 4833 15992  1  1 98  0  0
 3  0      0 379037728      0 7940644    0    0     0     0 4787 15566  1  1 98  0  0
 3  0      0 379041088      0 7940644    0    0     0     0 19292 26055  1  1 97  0  0
 3  0      0 379042592      0 7940644    0    0     0     0 8897 16610  1  1 98  0  0
 3  0      0 379039872      0 7940644    0    0     0     0 6409 10144  1  1 98  0  0
 3  0      0 379039264      0 7940644    0    0     0     0 4796 9695  1  1 98  0  0
 3  0      0 379039264      0 7940644    0    0     0     0 4924 10109  1  1 98  0  0
 3  0      0 379038528      0 7940644    0    0     0     0 4916 9196  1  1 98  0  0
 3  0      0 379038528      0 7940644    0    0     0     0 4007 8750  1  1 98  0  0
 3  0      0 379039040      0 7940644    0    0     0     0 3892 7256  1  1 98  0  0
 3  0      0 379037952      0 7940644    0    0     0     0 3986 11478  1  1 98  0  0
 3  0      0 379038176      0 7940644    0    0     0     0 4324 9535  1  1 98  0  0
 3  0      0 379037920      0 7940644    0    0     0     0 3940 7276  1  1 98  0  0
 3  0      0 379037920      0 7940644    0    0     0     0 3849 7351  1  1 98  0  0
 3  0      0 379037792      0 7940644    0    0     0     0 4054 7958  1  1 98  0  0
 3  0      0 379037184      0 7940644    0    0     0     0 3922 7842  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 379037696      0 7940644    0    0     0     0 4021 15900  1  1 98  0  0
 3  0      0 379037440      0 7940644    0    0     0     0 4198 10789  1  1 98  0  0
 3  0      0 379037440      0 7940644    0    0     0     0 3969 7377  1  1 98  0  0
 3  0      0 379038048      0 7940644    0    0     0     0 4086 7488  1  1 98  0  0
 3  0      0 379037696      0 7940644    0    0     0     0 4255 8505  1  1 98  0  0
 3  0      0 379037088      0 7940644    0    0     0     0 4106 17253  1  1 99  0  0
 3  0      0 379036960      0 7940644    0    0     0     0 4517 20527  1  1 99  0  0
 2  0      0 379036960      0 7940644    0    0     0     0 4055 20363  1  1 99  0  0
 3  0      0 379037472      0 7940644    0    0     0     0 3836 10257  1  1 98  0  0
 3  0      0 379037216      0 7940644    0    0     0     0 4127 7633  1  1 98  0  0
 3  0      0 379037088      0 7940644    0    0     0     0 4137 8212  1  1 98  0  0
 3  0      0 379036864      0 7940644    0    0     0     0 3814 7469  1  1 98  0  0
 3  0      0 379036864      0 7940644    0    0     0     0 3778 7324  1  1 98  0  0
 3  0      0 379037376      0 7940644    0    0     0     0 4001 8100  1  1 98  0  0
 3  0      0 379037376      0 7940644    0    0     0     0 4111 17327  1  1 98  0  0
 2  0      0 379036736      0 7940644    0    0     0     0 3969 17514  1  1 99  0  0
 3  0      0 379036000      0 7941396    0    0     0     0 3870 9353  1  1 99  0  0
 2  0      0 379036000      0 7941396    0    0     0     0 3938 14627  1  1 98  0  0
 3  0      0 379035392      0 7941396    0    0     0     0 3996 16947  1  1 99  0  0
