procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 376560128      0 8128688    0    0     0     0    1    1  0  0 100  0  0
 0  1      0 376438752  20988 8192436    0    0 20859     0 4092 9490  0  0 99  0  0
 1  1      0 376438176  20988 8192480    0    0     0     0  823 1338  0  0 99  1  0
 0  1      0 376439392  20988 8192956    0    0     0     0  856 1362  0  0 99  1  0
 0  1      0 376439104  20988 8192956    0    0     0     0  922 1448  0  0 99  1  0
 0  1      0 376439104  20988 8192956    0    0     0     0 1205 2475  0  0 99  1  0
 0  1      0 376438912  20988 8192956    0    0     0     0  908 1406  0  0 99  1  0
 0  1      0 376440640  20988 8193140    0    0     0     0  917 1531  0  0 99  1  0
 2  0      0 376355008  21456 8193824    0    0   479     0 14384 41032  1  0 99  0  0
 0  0      0 376308736  21456 8195088    0    0     0     0 8476 19153  1  0 99  0  0
 0  0      0 376308832  21456 8195088    0    0     0     0  727 1168  0  0 100  0  0
 0  0      0 376309568  21456 8195160    0    0     0     0  858 1777  0  0 100  0  0
 0  0      0 376309568  21456 8195160    0    0     0     0  746 1224  0  0 100  0  0
 0  0      0 376309504  21456 8195160    0    0     0     0  851 1440  0  0 100  0  0
 1  1      0 376301216  21456 8195184    0    0     0     0 1676 3422  0  0 100  0  0
 0  1      0 376300320  21456 8195184    0    0     0     0  874 1589  0  0 99  1  0
 0  1      0 376296768  21456 8195196    0    0     0     0 1014 1912  0  0 99  1  0
 0  0      0 376347008  21488 8143552    0    0    31     0 3353 5226  0  0 99  0  0
 0  0      0 376386272  21488 8143464    0    0     0     0 1453 2716  0  0 100  0  0
 0  0      0 376387296  21488 8143468    0    0     0     0 16192 12955  0  1 99  0  0
 0  0      0 376384736  21488 8143476    0    0     0     0 6378 10782  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 376384640  21488 8143480    0    0     0     0 1289 2385  0  0 100  0  0
 0  0      0 376384384  21488 8143484    0    0     0     0 1187 1926  0  0 100  0  0
 0  0      0 376381024  21488 8143488    0    0     0     0 1687 2517  0  0 100  0  0
 0  0      0 376381376  21488 8143488    0    0     0     0 2068 2931  0  0 100  0  0
 1  0      0 376379104  21488 8143500    0    0     0     0 1110 1686  0  0 100  0  0
 0  0      0 376377312  21488 8143500    0    0     0     0  936 1414  0  0 100  0  0
 0  0      0 376378240  21488 8143500    0    0     0     0 1141 1803  0  0 100  0  0
 0  0      0 376379648  21488 8143504    0    0     0     0 1128 1845  0  0 100  0  0
 0  0      0 376380064  21488 8143512    0    0     0     0 1518 2700  0  0 100  0  0
 0  0      0 376380640  21488 8143516    0    0     0     0  913 1478  0  0 100  0  0
 0  0      0 376381632  21488 8143516    0    0     0     0  880 1467  0  0 100  0  0
 0  0      0 376381728  21488 8143520    0    0     0     0 1109 1626  0  0 100  0  0
 0  0      0 376381856  21488 8143520    0    0     0     0 1154 1848  0  0 100  0  0
 0  0      0 376381856  21488 8143520    0    0     0     0 1187 2076  0  0 100  0  0
 0  0      0 376382240  21488 8143532    0    0     0     0  948 1478  0  0 100  0  0
 1  0      0 376379456  21488 8143532    0    0     0     0 1334 2187  0  0 100  0  0
 0  0      0 376379712  21488 8143532    0    0     0     0 1317 2261  0  0 100  0  0
 0  0      0 376380416  21488 8143540    0    0     0     0 1184 2001  0  0 100  0  0
 0  0      0 376380416  21488 8143544    0    0     0     0 1166 1630  0  0 100  0  0
 0  0      0 376380672  21488 8143544    0    0     0     0  929 1546  0  0 100  0  0
 0  0      0 376380576  21488 8143544    0    0     0     0 1083 1850  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 376380832  21488 8143548    0    0     0     0  996 1508  0  0 100  0  0
 0  0      0 376381120  21488 8143548    0    0     0     0 1010 1585  0  0 100  0  0
 0  0      0 376381120  21488 8143548    0    0     0     0 1251 2110  0  0 100  0  0
 0  0      0 376381632  21488 8143568    0    0     0     0 1004 1659  0  0 100  0  0
 0  0      0 376380256  21488 8143568    0    0     0     0  862 1386  0  0 100  0  0
 0  0      0 376380640  21488 8143572    0    0     0     0  957 1680  0  0 100  0  0
 0  0      0 376379648  21488 8143572    0    0     0     0 1116 1894  0  0 100  0  0
 0  0      0 376380640  21488 8143580    0    0     0     0 1234 1861  0  0 100  0  0
 0  0      0 376380768  21488 8143580    0    0     0     0  839 1424  0  0 100  0  0
 0  0      0 376381088  21488 8143584    0    0     0     0  942 1554  0  0 100  0  0
 0  0      0 376380864  21488 8143584    0    0     0     0 1084 1549  0  0 100  0  0
 1  0      0 376380192  21488 8143588    0    0     0     0 1156 1891  0  0 100  0  0
 1  0      0 376380416  21488 8143592    0    0     0     0 1317 2762  0  0 100  0  0
 0  0      0 376380480  21488 8143596    0    0     0     0  813 1302  0  0 100  0  0
