procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 307092192      0 8203944    0    0     0     0    1    2  0  0 100  0  0
 2  1      0 307054048   2556 8226596    0    0  2644     0 26886 48208  1  0 98  0  0
 0  1      0 306928992  20792 8305084    0    0 18023     0 24859 45468  1  0 98  0  0
 0  1      0 306927808  20792 8305684    0    0     0     0 22385 40455  1  0 98  1  0
 0  1      0 306928128  20792 8305684    0    0     0     0 22072 40070  1  0 98  1  0
 1  1      0 306928384  20792 8305684    0    0     0     0 22203 40082  1  0 98  1  0
 0  1      0 306925760  20792 8305684    0    0     0     0 22410 40104  1  0 98  1  0
 0  1      0 306926208  20792 8305684    0    0     0     0 22354 40383  1  0 98  1  0
 1  1      0 306926400  20792 8305684    0    0     0     0 22350 40110  1  0 98  1  0
 5  0      0 306821600  21304 8306676    0    0   518     0 34415 83457  2  0 97  0  0
 6  0      0 306820544  21304 8307392    0    0     0     0 31334 198362  4  0 96  0  0
 6  0      0 306820288  21304 8307392    0    0     0     0 32336 207225  4  0 96  0  0
 5  0      0 306763936  21304 8311192    0    0     0     0 64292 198108  4  0 95  0  0
 4  0      0 306763712  21304 8311524    0    0     0     0 32934 201792  4  0 95  0  0
 7  0      0 306766080  21304 8311524    0    0     0     0 32480 204642  4  0 96  0  0
 1  0      0 306729312  21304 8311524    0    0     0     0 42684 186009  4  0 96  0  0
 0  0      0 306726208  21304 8311600    0    0     0     0 21802 40202  1  0 99  0  0
 0  0      0 306728288  21304 8311600    0    0     0     0 21816 39980  1  0 99  0  0
 0  0      0 306728480  21304 8311600    0    0     0     0 21658 39724  1  0 99  0  0
 0  0      0 306727712  21304 8311600    0    0     0     0 21854 40088  1  0 99  0  0
 0  0      0 306728192  21304 8311600    0    0     0     0 21465 39515  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 306521152  21304 8311716    0    0     0     0 45965 79058  2  1 97  0  0
 9  0      0 306349568  21304 8315708    0    0     0     0 46863 80599  2  1 97  0  0
 6  0      0 306191264  21304 8316236    0    0     0     0 47854 82404  2  1 97  0  0
 3  0      0 306026048  21304 8320540    0    0     0     0 47851 83113  2  1 97  0  0
 4  0      0 305885952  21336 8324412    0    0    31     0 52631 79924  3  1 96  0  0
 5  0      0 305794176  21336 8325112    0    0     0     0 47953 78588  2  1 97  0  0
 6  0      0 305711168  21336 8329044    0    0     0     0 49027 78519  2  1 97  0  0
 5  0      0 305605792  21336 8329536    0    0     0     0 52579 84817  2  1 97  0  0
 8  1      0 305516480  21336 8333784    0    0     0     0 51011 81003  2  1 97  0  0
 8  1      0 305382880  21336 8333832    0    0     0     0 55989 90785  2  1 95  1  0
 1  1      0 305364512  21336 8334408    0    0     0     0 41340 61358  2  0 96  2  0
 1  1      0 305329248  21336 8334516    0    0     0     0 53390 53029  2  0 97  1  0
 1  1      0 305335584  21352 8335056    0    0    12     0 31638 43898  1  1 98  1  0
 1  1      0 305341536  21352 8335920    0    0     0     0 30513 42544  1  1 98  1  0
 1  1      0 305341952  21352 8336780    0    0     0     0 36429 53034  1  1 97  1  0
 1  0      0 305339424  21352 8338364    0    0     0     0 29764 43275  1  1 98  0  0
 1  0      0 305344512  21352 8339088    0    0     0     0 31093 43140  1  1 98  0  0
 1  0      0 305345152  21352 8339880    0    0     0     0 23153 42322  1  1 98  0  0
 1  0      0 305345248  21352 8340668    0    0     0     0 23366 42687  1  1 98  0  0
 1  0      0 305344800  21352 8341344    0    0     0     0 23232 43167  1  1 98  0  0
 1  0      0 305918976      0 8275184    0    0     0     0 24656 41270  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 305924480      0 8275184    0    0     0     0 21737 40013  1  0 99  0  0
 0  0      0 305926112      0 8275188    0    0     0     0 22348 40057  2  0 98  0  0
