procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 133797280  28336 4063844    0    0     0     0    0    0 31  0 69  0  0
 3  2      0 133703088  28848 4123016    0    0 14868     0 36959 65409  3  1 95  1  0
 0  1      0 133710072  31520 4128988    0    0  2651     0 23291 56226  3  1 95  2  0
 4  0      0 133689536  35044 4144464    0    0  3552     0 24217 64490  3  1 95  1  0
 2  1      0 133660344  40148 4166320    0    0  5041     0 27455 80194  3  1 95  1  0
 1  0      0 133619616  46620 4195620    0    0  6436     0 29347 92983  3  1 95  1  0
 0  1      0 133562328  50492 4238944    0    0  3856   108 34186 80376  3  1 95  1  0
 8  0      0 133428160  50544 4273344    0    0    53     0 56790 126947  7  1 92  0  0
 1  0      0 133395816  50544 4292212    0    0     0     0 45828 163164  9  1 90  0  0
 3  0      0 133367520  50544 4293144    0    0     0     0 54559 151014  9  1 90  0  0
10  0      0 133276160  50544 4340228    0    0     0     0 50492 158582  8  1 91  0  0
 7  0      0 133247920  50552 4355396    0    0     0    52 45190 168521 10  1 89  0  0
14  0      0 133243240  50552 4358316    0    0     0     0 37754 158160  9  1 90  0  0
 4  1      0 133244176  50552 4358312    0    0     0     0 24600 75015  5  0 94  1  0
 5  1      0 133241744  50552 4358388    0    0     0     0 19290 30665  3  0 96  1  0
 1  1      0 133239320  50552 4358388    0    0     0     0 18087 30234  3  0 96  1  0
 0  1      0 133239440  50552 4358388    0    0     0    36 18221 30271  3  0 96  1  0
 0  1      0 133237760  50568 4358380    0    0     0    64 19148 31137  3  0 96  1  0
 0  1      0 133238144  50568 4358500    0    0     0     0 18265 30556  3  0 96  1  0
 0  1      0 133238144  50568 4358500    0    0     0     0 18103 30209  3  0 96  1  0
 7  0      0 133237032  50568 4358500    0    0     0     0 25102 50106  3  0 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 133205432  50568 4379516    0    0     0    16 33106 66772  5  0 94  0  0
 0  0      0 133204528  50568 4380260    0    0     0     0 18110 30198  3  0 97  0  0
 2  0      0 133204832  50576 4380260    0    0     0    44 18183 30248  3  0 97  0  0
 1  0      0 133204464  50576 4380260    0    0     0     0 18353 30828  3  0 97  0  0
 1  0      0 133203896  50576 4380260    0    0     0     0 18002 30109  3  0 97  0  0
 4  0      0 133160512  50576 4380208    0    0     0     0 27319 45274  4  1 95  0  0
 7  0      0 133034192  50576 4396920    0    0     0     0 34916 55946  7  2 91  0  0
 7  0      0 132923936  50576 4425464    0    0     0     0 52406 93385  6  2 92  0  0
 5  0      0 132817280  50576 4393476    0    0     0     0 41507 66057  8  2 91  0  0
 7  0      0 132824480  50576 4339384    0    0     0     0 55454 73399  8  2 90  0  0
 7  0      0 132792320  50584 4317548    0    0     0    48 35580 61058  5  2 94  0  0
 4  0      0 132717944  50584 4317676    0    0     0     0 38736 65119  5  2 93  0  0
 6  0      0 132659312  50584 4317996    0    0     0     0 35667 59530  5  1 94  0  0
 4  0      0 132590768  50584 4318196    0    0     0     0 38854 64496  5  2 93  0  0
