procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 152924544  27172 4577176    0    0     0     7    0    0 43  1 56  0  0
 1  0      0 152875056  27180 4623480    0    0     0    44 32421 41387  3  1 96  0  0
12  1      0 152855616  27800 4624356    0    0   605     0 17038 25320  2  0 97  1  0
 9  0      0 152855520  29768 4629464    0    0  1952     0 14977 32250  2  0 97  0  0
 6  0      0 152841504  31296 4635912    0    0  1496     0 14709 27925  2  0 98  0  0
 7  0      0 152827200  33880 4648228    0    0  2586     0 16485 37245  2  1 97  0  0
10  0      0 152814128  36796 4658848    0    0  2884     0 16579 40407  2  1 97  0  0
 9  0      0 152795472  39964 4671648    0    0  3186    40 16852 42055  2  1 97  0  0
10  0      0 152773952  43056 4686356    0    0  3055     0 16908 42080  2  1 97  0  0
 8  0      0 152753728  46572 4704016    0    0  3497     0 17556 45971  2  1 97  0  0
13  0      0 152709888  49292 4736016    0    0  2707    84 22369 47876  2  1 97  0  0
10  0      0 152659488  49344 4766552    0    0    53    20 21112 27482  2  0 97  0  0
11  0      0 152633696  49344 4768840    0    0     0     0 12515 16380  2  0 98  0  0
11  0      0 152613024  49344 4772604    0    0     0     0 13110 17509  2  0 98  0  0
11  0      0 152580528  49344 4772940    0    0     0     0 12149 15929  2  0 98  0  0
 7  0      0 152565696  49344 4772940    0    0     0     0 11664 15873  2  0 98  0  0
 8  0      0 152546688  49352 4781132    0    0     0    60 14284 19706  2  0 97  0  0
10  0      0 152531328  49352 4796172    0    0     0     0 17006 24288  2  0 97  0  0
 3  0      0 152516288  49352 4811852    0    0     0     0 16607 24308  2  0 97  0  0
 8  0      0 152502144  49352 4825388    0    0     0     0 15932 22876  2  0 97  0  0
11  0      0 152502144  49352 4825388    0    0     0     0 11585 16018  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 152482800  49352 4825516    0    0     0     0 11678 15644  2  0 98  0  0
 8  0      0 152449568  49356 4825516    0    0     0     4 12771 16528  2  0 97  0  0
 9  0      0 152431824  49356 4840088    0    0     0     0 15971 22800  2  0 97  0  0
10  0      0 152412960  49356 4855560    0    0     0     0 18356 23563  3  0 97  0  0
10  0      0 152413136  49356 4855248    0    0     0     0 12069 15988  2  0 98  0  0
10  0      0 152383456  49356 4860680    0    0     0    32 13356 18212  2  0 97  0  0
10  0      0 152375168  49356 4870776    0    0     0     0 14254 20610  2  0 97  0  0
 8  0      0 152374592  49364 4870768    0    0     0    44 11607 15890  2  0 98  0  0
 9  0      0 152372512  49364 4870768    0    0     0     0 11533 15836  2  0 98  0  0
 9  0      0 152370464  49364 4870768    0    0     0     0 11774 16135  2  0 97  0  0
12  0      0 152362048  49364 4879588    0    0     0    28 14370 19787  2  0 97  0  0
10  0      0 152359552  49364 4879588    0    0     0     0 11879 15487  2  0 98  0  0
 9  0      0 152346640  49364 4879588    0    0     0     0 11820 15525  2  0 98  0  0
 9  0      0 152344592  49364 4879588    0    0     0     0 11709 15952  2  0 98  0  0
11  0      0 152344592  49364 4879588    0    0     0     0 11523 15276  2  0 98  0  0
10  0      0 152338080  49364 4879588    0    0     0     0 11652 15410  2  0 98  0  0
10  0      0 152310384  49368 4881516    0    0     0     4 13449 16945  2  0 97  0  0
10  0      0 152281664  49368 4895408    0    0     0     0 17023 23883  2  0 97  0  0
 6  0      0 152265696  49368 4910456    0    0     0     0 17610 24415  2  0 97  0  0
10  0      0 152265696  49368 4910456    0    0     0     0 11766 15194  2  0 98  0  0
12  0      0 152248640  49368 4926352    0    0     0     8 16035 21886  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
