procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  95688 10676764  54968 1154700    4   34   400    92  364   18  7  3 90  0  0
 1  0  95688 10539272  56044 1227432   12    0 22704   136 8447 22440 10  5 85  0  0
14  0  95688 10539272  56044 1227592    0    0     0     0 1187 1670  3  1 96  0  0
 0  0  95688 10543368  56044 1218776    0    0     0     0 1149 1611  3  0 97  0  0
 0  0  95688 10542864  56044 1218776    0    0     0     0 1143 1610  3  0 97  0  0
 0  0  95688 10542864  56044 1218776    0    0     0     0 1185 1667  3  0 97  0  0
 0  0  95688 10520560  56148 1227964    0    0    40 16056 2126 3499  6  1 93  0  0
 0  0  95688 10519328  56148 1228168    0    0     0     0 1508 2312  3  1 96  0  0
 3  0  95688 10515100  56148 1228016    0    0     0     0 1992 3124  5  1 94  0  0
 1  0  95688 10512104  56148 1228248    0    0     0     0 2220 3491  6  1 94  0  0
 0  0  95688 10509388  56148 1228252    0    0     0     0 2130 3229  5  1 94  0  0
 0  0  95688 10506140  56156 1228252    0    0     0    20 2074 3350  5  1 94  0  0
 0  0  95688 10500988  56156 1228264    0    0     0    12 2212 3388  6  1 94  0  0
 0  0  95688 10497964  56156 1228272    0    0     0     0 2072 3228  6  0 94  0  0
 0  0  95688 10493680  56156 1228340    0    0     0     0 2497 3862  6  1 94  0  0
 1  0  95688 10491160  56156 1228344    0    0     0     0 1745 2621  4  0 95  0  0
 0  0  95688 10488444  56156 1228348    0    0     0     0 2038 3114  5  1 94  0  0
 0  0  95688 10487688  56164 1228356    0    0     0    28 1784 2658  3  1 96  0  0
 0  0  95688 10487184  56164 1228356    0    0     0     0 2099 3192  4  1 96  0  0
 0  0  95688 10486932  56164 1228432    0    0     0     0 2192 3502  5  1 95  0  0
 0  0  95688 10486176  56164 1228436    0    0     0     0 1973 3168  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0  95688 10485672  56164 1228376    0    0     0     0 2037 3262  5  0 95  0  0
 0  0  95688 10484916  56172 1228384    0    0     0    12 2099 3318  4  1 95  0  0
 0  0  95688 10484412  56172 1228900    0    0     0     0 1966 3159  5  0 95  0  0
 0  0  95688 10484160  56172 1228912    0    0     0     0 2283 3658  5  1 94  0  0
 0  0  95688 10484676  56172 1228400    0    0     0     0 1652 2485  4  0 96  0  0
 0  0  95688 10483444  56172 1228408    0    0     0     0 2022 3142  4  1 95  0  0
 0  0  95688 10483444  56180 1228408    0    0     0    12 1697 2629  3  1 96  0  0
 0  0  95688 10482688  56180 1228480    0    0     0   152 2069 3227  4  1 96  0  0
 1  0  95688 10482688  56180 1228484    0    0     0     0 2314 3712  5  1 94  0  0
 0  0  95688 10482688  56180 1228428    0    0     0     0 1988 3093  4  1 95  0  0
 0  0  95688 10482688  56180 1228496    0    0     0    84 2082 3236  4  1 95  0  0
 0  0  95688 10482184  56192 1228448    0    0     4   184 2150 3353  4  1 95  0  0
 0  0  95688 10481932  56192 1228456    0    0     0     0 2004 3156  4  1 95  0  0
13  0  95688 10481680  56192 1228460    0    0     0     0 2325 3753  5  1 94  0  0
 0  0  95688 10481176  56256 1228400    0    0     0   356 1689 2691  4  0 96  0  0
 0  0  95688 10481176  56256 1228468    0    0     0     0 1961 3033  4  1 95  0  0
 0  0  95688 10481176  56256 1228472    0    0     0   100 1796 2733  4  0 96  0  0
 4  0  95688 10481176  56256 1228560    0    0     0     0 2057 3167  5  1 95  0  0
 1  0  95688 10481176  56256 1228572    0    0     0     0 2159 3548  5  1 95  0  0
 0  0  95688 10481176  56264 1228428    0    0     0    20 1933 3079  4  1 95  0  0
 0  0  95688 10481176  56264 1228432    0    0     0     0 2035 3241  4  0 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  95688 10480924  56264 1228440    0    0     0     0 2039 3197  5  1 94  0  0
 0  0  95688 10480924  56264 1228448    0    0     0    48 2026 3207  5  1 95  0  0
 0  0  95688 10480928  56264 1228456    0    0     0     0 2253 3574  5  0 95  0  0
 0  0  95688 10480928  56264 1228460    0    0     0     0 1709 2569  4  1 95  0  0
 0  0  95688 10480928  56272 1228532    0    0     0    44 1959 3095  4  1 95  0  0
 0  0  95688 10480928  56272 1228532    0    0     0     0 1767 2658  4  1 95  0  0
 0  0  95688 10480928  56272 1228540    0    0     0    32 2047 3316  4  1 95  0  0
 0  0  95688 10480928  56272 1229056    0    0     0     0 2185 3546  4  1 95  0  0
 0  0  95688 10480676  56272 1228552    0    0     0     0 1965 3114  5  1 94  0  0
 0  0  95688 10480676  56280 1228560    0    0     0    20 1998 3273  4  1 95  0  0
 0  0  95688 10480676  56280 1228564    0    0     0     0 2063 3282  5  0 95  0  0
 0  0  95688 10480676  56280 1228568    0    0     0    40 1909 3048  4  1 95  0  0
 0  0  95688 10480452  56280 1228580    0    0     0     0 2262 3659  5  1 94  0  0
 0  0  95688 10480452  56280 1228580    0    0     0     0 1662 2552  3  1 96  0  0
 0  0  95688 10480452  56288 1228652    0    0     0    20 2012 3166  4  1 95  0  0
 1  0  95688 10480452  56288 1228652    0    0     0     0 1753 2663  4  1 95  0  0
 0  0  95688 10480200  56288 1228596    0    0     0    36 2002 3133  4  0 95  0  0
 1  0  95688 10480200  56288 1228600    0    0     0     0 2287 3587  5  1 94  0  0
 0  0  95688 10480200  56288 1228608    0    0     0     0 1980 3124  5  1 94  0  0
 0  0  95688 10480200  56296 1228612    0    0     0    20 2065 3424  4  0 96  0  0
 0  0  95688 10479948  56296 1228620    0    0     0     0 2013 3254  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  95688 10479948  56296 1228628    0    0     0     0 1982 3115  4  1 96  0  0
 0  0  95688 10479696  56296 1228636    0    0     0    40 2323 3794  6  0 94  0  0
 0  0  95688 10479696  56296 1228636    0    0     0     0 1711 2607  4  0 96  0  0
 0  0  95688 10479192  56304 1228644    0    0     0    28 1987 3122  4  1 95  0  0
 0  0  95688 10479192  56304 1228648    0    0     0     0 1802 2789  4  0 95  0  0
 0  0  95688 10478940  56304 1228588    0    0     0     0 2002 3169  4  1 95  0  0
 1  0  95688 10478940  56304 1228592    0    0     0    32 2237 3608  5  1 94  0  0
 0  0  95688 10478688  56304 1228600    0    0     0     0 1925 3082  4  1 96  0  0
 1  0  95688 10478688  56312 1228444    0    0     0    20 2028 3244  5  1 95  0  0
 0  0  95688 10478436  56312 1228612    0    0     0     0 2034 3207  5  0 95  0  0
 0  0  95688 10478436  56312 1229144    0    0     0     0 1880 3076  4  0 96  0  0
 0  0  95688 10478436  56312 1229068    0    0     0    44 2230 3613  5  1 94  0  0
 0  0  95688 10474088  56312 1228972    0    0     0     0 1717 2683  3  1 96  0  0
 1  0  95688 10473836  56320 1228716    0    0     0    28 2009 3109  4  1 95  0  0
 0  0  95688 10473584  56320 1228732    0    0     0    28 1744 2611  3  1 95  0  0
 0  0  95688 10473080  56320 1228756    0    0     0     0 2046 3189  5  0 95  0  0
 0  0  95688 10472604  56320 1228680    0    0     0    32 2280 3700  5  1 95  0  0
 0  0  95688 10472352  56320 1228684    0    0     0     0 1965 3092  4  0 96  0  0
 0  0  95688 10472352  56328 1228748    0    0     0    72 2030 3325  5  1 95  0  0
 0  0  95688 10472352  56328 1228760    0    0     0     0 1991 3235  4  1 95  0  0
 0  0  95688 10471848  56328 1228768    0    0     0     0 2042 3271  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  95688 10471848  56328 1228772    0    0     0    44 2328 3728  5  1 94  0  0
 6  0  95688 10471624  56328 1228776    0    0     0     0 1689 2534  3  1 96  0  0
 0  0  95688 10471624  56336 1228780    0    0     0    20 1967 3156  4  0 96  0  0
 0  0  95688 10471624  56336 1228784    4    0     4     0 1755 2641  4  1 96  0  0
 2  0  95688 10471624  56336 1228796    0    0     0     0 2046 3322  5  1 95  0  0
 0  0  95688 10471624  56336 1228800    0    0     0     0 2241 3607  4  1 95  0  0
 0  0  95688 10471372  56336 1228812    0    0     0    36 1893 3084  4  0 96  0  0
 0  0  95688 10471372  56344 1228808    0    0     0    44 2084 3332  4  1 95  0  0
 0  0  95688 10470868  56344 1228676    0    0     0     0 2016 3211  5  1 95  0  0
 0  0  95688 10470616  56344 1228908    0    0     0     0 1999 3204  4  1 95  0  0
 0  0  95688 10470364  56344 1228916    0    0     0     0 2187 3596  6  0 94  0  0
 0  0  95688 10469860  56344 1228856    0    0     0    40 1780 2686  3  1 96  0  0
 0  0  95688 10465512  56352 1228860    0    0     0    24 2030 3242  4  1 95  0  0
 0  0  95688 10465512  56352 1228864    0    0     0     8 1699 2587  4  1 95  0  0
 0  0  95688 10465512  56352 1228872    0    0     0     0 2092 3293  4  1 95  0  0
 0  0  95688 10465008  56352 1229456    0    0     0     0 2242 3527  4  1 95  0  0
 0  0  95688 10464756  56356 1228892    0    0     4    36 1975 3073  4  1 95  0  0
