procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 142826304  45248 5518584    0    0     0     7    0    0 42  1 57  0  0
 5  0      0 142825456  45248 5518584    0    0     0     0 16178 14862  2  0 97  0  0
11  0      0 142823936  45248 5518636    0    0     0     0 15668 14617  2  0 97  0  0
13  0      0 142810784  45248 5518636    0    0     0     0 13994 13727  2  0 98  0  0
35  0      0 142810576  45248 5518664    0    0     0     0 14405 14385  2  0 97  0  0
13  0      0 142825216  45264 5518652    0    0     0    80 14142 14270  2  0 98  0  0
13  0      0 142814736  45264 5518652    0    0     0     0 13911 13112  2  0 98  0  0
12  0      0 142813712  45264 5518848    0    0     0     4 14994 13741  2  0 97  0  0
15  0      0 142811664  45264 5518848    0    0     0     0 14149 13391  2  0 97  0  0
12  0      0 142822592  45264 5518856    0    0     0    16 14557 13318  3  0 97  0  0
 9  0      0 142822656  45264 5518856    0    0     0     0 13748 13203  2  0 98  0  0
28  0      0 142815440  45272 5518848    0    0     0    64 13954 13045  2  0 98  0  0
13  0      0 142814944  45272 5518848    0    0     0     0 13694 13072  2  0 98  0  0
22  0      0 142808368  45272 5518864    0    0     0     0 13859 13267  2  0 98  0  0
17  0      0 142803296  46324 5519312    0    0  1051     0 15545 22864  2  0 97  0  0
13  0      0 142803296  46324 5519312    0    0     0     0 13827 13492  2  0 98  0  0
 8  0      0 142803296  46324 5519312    0    0     0     0 13735 13098  2  0 98  0  0
12  0      0 142803424  46324 5519312    0    0     0     0 14678 13854  2  0 97  0  0
10  0      0 142803456  46324 5519312    0    0     0     0 13802 13399  2  0 98  0  0
13  0      0 142799232  46324 5519312    0    0     0     0 14102 13348  2  0 97  0  0
15  0      0 142797184  46324 5519312    0    0     0     0 13953 13343  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 142797184  46324 5519312    0    0     0     0 13814 13341  2  0 98  0  0
12  1      0 142794112  46476 5519160    0    0   138    40 13947 14079  2  0 97  0  0
12  0      0 142807456  46944 5520948    0    0   452     0 14757 18691  2  0 97  0  0
13  0      0 142804416  47448 5523452    0    0   507     0 14552 18354  2  0 97  0  0
14  0      0 142802368  47960 5525196    0    0   496     0 14671 18889  2  0 97  0  0
18  0      0 142800208  48408 5527004    0    0   447     0 14340 18484  2  0 97  0  0
16  0      0 142791680  48796 5528872    0    0   377     0 14150 18368  2  0 97  0  0
15  0      0 142790144  49152 5530020    0    0   347     0 13986 18455  2  0 97  0  0
17  0      0 142788016  49452 5531224    0    0   290     0 13966 18186  2  0 97  0  0
19  0      0 142788576  49632 5532488    0    0   174     0 14727 18191  2  0 97  0  0
16  0      0 142787168  49888 5533780    0    0   254     0 13754 18136  2  0 97  0  0
19  0      0 142785216  50084 5534336    0    0   203     0 13470 17736  2  0 97  0  0
25  0      0 142784192  50280 5536396    0    0   200     0 13383 17893  2  0 97  0  0
23  1      0 142783296  50440 5536752    0    0   168    16 13922 18625  2  0 97  0  0
18  0      0 142782784  50484 5536708    0    0    44     0 12906 17666  2  0 97  0  0
20  0      0 142782592  50552 5537476    0    0    74    56 12461 17746  2  0 98  0  0
20  0      0 142782672  50668 5538260    0    0   120     0 12812 17783  2  0 97  0  0
21  1      0 142781632  50944 5539200    0    0   270     0 14153 17901  2  0 97  0  0
12  0      0 142778176  51524 5541784    0    0   571    72 15310 18461  3  0 97  0  0
14  1      0 142775568  52184 5544624    0    0   647     0 14991 19436  2  0 97  0  0
13  0      0 142772400  52760 5546304    0    0   570     0 14942 18753  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0      0 142769904  53320 5548876    0    0   551     0 14917 18674  2  0 97  0  0
10  0      0 142767376  53808 5551004    0    0   498     0 14597 18414  2  0 97  0  0
14  0      0 142766144  54092 5551500    0    0   287     0 14050 16853  2  0 97  0  0
16  1      0 142764416  54692 5553908    0    0   580     0 14620 19637  2  0 97  0  0
15  0      0 142761904  55076 5555028    0    0   360     0 14394 17369  2  0 97  0  0
17  0      0 142760032  55480 5556660    0    0   441     0 14719 17885  2  0 97  0  0
11  0      0 142757904  55904 5558492    0    0   427     0 14519 17832  2  0 97  0  0
18  0      0 142753216  56244 5560408    0    0   343    12 14593 16845  2  0 97  0  0
14  0      0 142752704  56300 5560352    0    0    54     0 13898 14469  2  0 98  0  0
29  0      0 142748688  56716 5562192    0    0   415     0 16766 18762  2  0 97  0  0
15  0      0 142746528  57120 5564044    0    0   404     0 14503 17727  2  0 97  0  0
17  0      0 142744384  57524 5565144    0    0   407     0 14622 17773  2  0 97  0  0
23  0      0 142742352  57936 5566988    0    0   418     0 14378 17982  2  0 97  0  0
27  0      0 142740608  58164 5567512    0    0   219    52 14120 16410  2  0 97  0  0
22  0      0 142738784  58448 5568732    0    0   283     0 14891 17334  2  0 97  0  0
43  0      0 142736928  58720 5570716    0    0   267     0 14011 16841  2  0 97  0  0
13  1      0 142735504  59116 5573104    0    0   379     0 14294 17607  2  0 97  0  0
22  0      0 142733472  59548 5574176    0    0   435     0 14839 17542  2  0 97  0  0
22  0      0 142731632  59924 5576712    0    0   372     0 15388 17514  2  0 97  0  0
37  0      0 142727712  60288 5577852    0    0   365    40 15325 17307  2  0 97  0  0
46  0      0 142724784  60620 5579196    0    0   317     0 15374 17073  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
45  0      0 142722128  61040 5581784    0    0   421     0 14916 17334  2  0 97  0  0
57  1      0 142719616  61452 5583076    0    0   404     8 15407 17543  2  0 97  0  0
62  0      0 142716448  61844 5585692    0    0   390     0 14869 17116  2  0 97  0  0
64  1      0 142715952  61976 5586092    0    0   135     0 14374 14686  2  0 97  0  0
75  0      0 142713824  62292 5587708    0    0   312    44 15490 16685  2  0 97  0  0
81  0      0 142712064  62756 5589084    0    0   460     0 15210 17596  3  0 97  0  0
63  0      0 142709024  63224 5592012    0    0   469     0 15310 17653  3  0 97  0  0
66  0      0 142706656  63632 5593860    0    0   404     0 14811 17421  2  0 97  0  0
65  0      0 142704000  63996 5595752    0    0   361     0 14675 17117  2  0 97  0  0
69  0      0 142702112  64324 5598104    0    0   332     0 14410 17214  2  0 97  0  0
67  0      0 142701360  64440 5598608    0    0   113    40 14034 15621  2  0 98  0  0
64  0      0 142700912  64672 5599128    0    0   196     0 14008 16637  2  0 97  0  0
70  1      0 142699888  64840 5599996    0    0   189     0 14126 16591  2  0 97  0  0
79  0      0 142699008  65044 5600840    0    0   207     0 14026 16706  2  0 97  0  0
65  0      0 142697472  65160 5602344    0    0   116     0 14120 16671  2  0 97  0  0
63  0      0 142696960  65356 5602900    0    0   199     0 13627 17044  2  0 97  0  0
62  0      0 142694272  65472 5602788    0    0   118     0 13964 15611  2  0 97  0  0
62  0      0 142692128  65736 5604028    0    0   263     0 14121 16761  2  0 97  0  0
61  1      0 142690112  66116 5606656    0    0   374     0 14555 17287  2  0 97  0  0
61  1      0 142688480  66360 5607164    0    0   245     0 14316 15590  2  0 97  0  0
56  0      0 142686960  66756 5609024    0    0   393    40 14749 17605  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0      0 142683808  67248 5610788    0    0   499    20 14795 18120  2  0 97  0  0
27  0      0 142681248  67392 5611396    0    0   148     0 14230 15260  2  0 97  0  0
15  1      0 142681248  67412 5612128    0    0    20     0 13943 14232  2  0 98  0  0
14  1      0 142681248  67412 5612128    0    0     0     0 13951 13228  2  0 98  0  0
12  1      0 142681248  67412 5612128    0    0     0     0 13899 13214  2  0 98  0  0
11  1      0 142681248  67412 5612128    0    0     0    24 13821 13187  2  0 98  0  0
13  1      0 142681248  67420 5612120    0    0     0    32 13862 13360  2  0 98  0  0
11  1      0 142681248  67420 5612120    0    0     0     0 13777 13202  2  0 98  0  0
13  1      0 142681248  67420 5612120    0    0     0     0 13741 13138  2  0 98  0  0
26  0      0 142677888  67484 5612056    0    0    69     0 14223 14831  2  0 97  0  0
16  0      0 142660896  67484 5627748    0    0     0     0 19739 21367  2  0 97  0  0
14  0      0 142645904  67484 5641656    0    0     0     0 18544 20846  2  0 97  0  0
16  0      0 142632944  67484 5654944    0    0     0     0 18329 20404  2  0 97  0  0
17  0      0 142630912  67484 5654948    0    0     0     0 13716 14382  2  0 98  0  0
17  0      0 142626560  67484 5660228    0    0     0     0 16335 18325  3  0 97  0  0
14  1      0 142626432  67536 5660032    0    0    53     8 14203 14657  3  0 97  0  0
42  0      0 142623072  67544 5660776    0    0     0    44 13994 15490  2  0 97  0  0
26  0      0 142622528  67544 5660776    0    0     0     0 13470 14962  2  0 98  0  0
23  0      0 142622528  67544 5660776    0    0     0     0 13816 15871  2  0 98  0  0
21  0      0 142620368  67544 5660776    0    0     0     0 13706 15676  2  0 98  0  0
19  0      0 142620368  67544 5660776    0    0     0     0 13732 15428  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 142619136  67544 5661300    0    0     0     0 19641 21397  3  1 97  0  0
13  0      0 142619168  67544 5661300    0    0     0     0 15101 16369  2  0 97  0  0
15  0      0 142617344  67544 5661300    0    0     0     0 14271 14710  2  0 98  0  0
10  0      0 142615296  67544 5661300    0    0     0     0 14084 14445  2  0 98  0  0
12  0      0 142613248  67544 5661300    0    0     0     0 14134 14272  2  0 97  0  0
16  0      0 142613248  67544 5661300    0    0     0     0 14150 14467  2  0 98  0  0
35  0      0 142609664  67552 5661260    0    0     0    24 15092 14860  2  0 97  0  0
12  0      0 142607648  67552 5661260    0    0     0     0 14767 14464  2  0 97  0  0
12  0      0 142605360  67552 5661252    0    0     0     0 13858 14088  2  0 98  0  0
12  0      0 142603184  67552 5661252    0    0     0     0 13840 14330  2  0 98  0  0
13  0      0 142601568  67552 5661100    0    0     0     0 13903 14167  2  0 98  0  0
12  0      0 142599424  67552 5661100    0    0     0     0 14681 14643  2  0 97  0  0
13  0      0 142596144  67556 5662896    0    0     0    44 14517 15659  2  0 97  0  0
15  0      0 142595152  67556 5662896    0    0     0     0 13954 14281  2  0 98  0  0
15  0      0 142595152  67556 5662896    0    0     0     0 14079 14573  2  0 97  0  0
12  0      0 142593872  67556 5662896    0    0     0     0 14974 15085  2  0 97  0  0
13  0      0 142590432  67556 5663092    0    0     0     0 14592 14658  2  0 97  0  0
14  0      0 142590064  67556 5663124    0    0     0     0 15088 14938  2  0 97  0  0
13  0      0 142589776  67556 5663124    0    0     0     0 14252 14058  2  0 97  0  0
15  0      0 142590976  67556 5663288    0    0     0    20 14743 14579  2  0 97  0  0
