procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 129856992  32524 4333076    0    0     0     0    0    0 31  0 69  0  0
 0  1      0 129843384  33764 4333444    0    0  1407     0 25134 49429  3  1 95  1  0
 1  1      0 129819680  38024 4352412    0    0  4226     0 26773 73058  3  1 95  1  0
 7  1      0 129793344  43008 4370368    0    0  4947     0 28102 81016  3  1 95  1  0
 3  1      0 129752808  48920 4397924    0    0  5895     0 29845 90186  3  1 95  1  0
 1  1      0 129726152  53056 4416132    0    0  4096    40 26446 72056  3  1 95  1  0
 5  0      0 129838824  32532 4355584    0    0  1401     0 23061 47124  3  1 96  0  0
 1  0      0 129839072  32532 4355584    0    0     0     0 19323 32075  3  0 96  0  0
 8  0      0 129839072  32532 4355584    0    0     0     0 19532 32533  3  0 96  0  0
 2  0      0 129839232  32532 4355584    0    0     0    16 19340 32122  3  0 97  0  0
 1  0      0 129838992  32532 4355584    0    0     0     0 19339 32118  3  0 96  0  0
 4  0      0 129839680  32532 4355456    0    0     0     0 27271 42728  4  1 95  0  0
 4  0      0 129838840  32532 4355456    0    0     0     0 19388 32307  3  0 97  0  0
 5  0      0 129839800  32532 4355456    0    0     0     0 19303 32459  3  0 97  0  0
13  0      0 129839920  32532 4355456    0    0     0    20 19293 31957  3  0 97  0  0
 0  0      0 129838808  32540 4355456    0    0     0    44 19247 32070  3  0 96  0  0
 1  0      0 129839184  32540 4355456    0    0     0     0 19406 32279  3  0 97  0  0
 1  0      0 129839184  32540 4355456    0    0     0     0 19327 32070  3  0 96  0  0
 6  0      0 129839552  32540 4355456    0    0     0     0 19412 32167  3  0 97  0  0
 2  0      0 129839552  32540 4355456    0    0     0    16 19315 32045  3  0 96  0  0
 1  0      0 129839680  32540 4355456    0    0     0     0 19877 32431  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 129839760  32540 4355456    0    0     0     0 20238 32573  3  0 96  0  0
 4  0      0 129836768  32540 4355216    0    0     0     0 19512 32679  3  0 96  0  0
 0  0      0 129837800  32540 4355216    0    0     0     0 19436 32167  3  0 96  0  0
 4  0      0 129837800  32540 4355216    0    0     0     0 19512 32246  3  0 96  0  0
 1  0      0 129837880  32548 4355216    0    0     0    52 19373 32143  3  0 97  0  0
 9  0      0 129838000  32548 4355216    0    0     0     0 19469 32127  3  0 96  0  0
 0  0      0 129838000  32548 4355216    0    0     0     0 19419 32101  3  0 96  0  0
 0  0      0 129838000  32548 4355216    0    0     0     0 19599 32728  3  0 96  0  0
 0  0      0 129838128  32548 4355216    0    0     0     0 19324 32123  3  0 96  0  0
 3  0      0 129838888  32548 4355216    0    0     0     0 19336 32077  3  0 97  0  0
 2  0      0 129838432  32548 4355216    0    0     0     0 19879 32521  3  0 96  0  0
 4  0      0 129836864  32548 4355216    0    0     0     0 19546 32271  3  0 96  0  0
 6  0      0 129837216  32548 4355216    0    0     0     0 19331 32269  3  0 96  0  0
 0  0      0 129837728  32548 4355216    0    0     0    40 19351 32062  3  0 96  0  0
 4  0      0 129838008  32548 4355216    0    0     0     0 19273 32046  3  0 96  0  0
 1  0      0 129838008  32556 4355216    0    0     0    20 19467 32207  3  0 96  0  0
 4  0      0 129838032  32556 4355216    0    0     0     0 19229 31943  3  0 96  0  0
 1  0      0 129838032  32556 4355216    0    0     0     0 19455 32503  3  0 96  0  0
 0  0      0 129838032  32556 4355216    0    0     0     0 19198 31937  3  0 96  0  0
 0  0      0 129838032  32556 4355216    0    0     0     0 19520 32226  3  0 96  0  0
 0  0      0 129838032  32556 4355216    0    0     0     0 19290 32222  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 129833944  32556 4355216    0    0     0     0 19277 32106  3  0 97  0  0
 4  0      0 129834672  32556 4355220    0    0     0     0 19207 32090  3  0 96  0  0
 4  0      0 129833936  32556 4355220    0    0     0     8 19544 32253  3  0 96  0  0
 0  0      0 129831984  32556 4355220    0    0     0     0 20670 32819  3  0 96  0  0
 2  0      0 129834776  32556 4355128    0    0     0     0 19477 32158  3  0 96  0  0
 6  0      0 129834968  32556 4355128    0    0     0     0 20830 33386  3  0 96  0  0
 7  0      0 129835248  32556 4355068    0    0     0     0 19499 32296  3  0 96  0  0
 0  0      0 129835872  32556 4355068    0    0     0     0 19269 32096  3  0 96  0  0
 1  0      0 129835872  32564 4355068    0    0     0    40 19696 32220  3  1 96  0  0
 0  0      0 129835056  32564 4355068    0    0     0     0 20078 32613  3  0 96  0  0
 1  0      0 129832688  32564 4355068    0    0     0     0 19479 32212  3  0 96  0  0
 4  0      0 129832200  32564 4355068    0    0     0     0 19365 32499  3  0 96  0  0
 7  0      0 129832320  32564 4355068    0    0     0    16 19402 32067  3  0 96  0  0
 2  0      0 129832320  32564 4355068    0    0     0     0 19249 32063  3  0 96  0  0
 5  0      0 129832320  32572 4355068    0    0     0    48 19320 32086  3  0 96  0  0
 8  0      0 129832440  32572 4355068    0    0     0     0 19177 32040  3  0 96  0  0
 0  0      0 129832440  32572 4355068    0    0     0     0 19350 32311  3  0 96  0  0
 0  0      0 129830736  32572 4355068    0    0     0     0 20469 32738  3  0 96  0  0
 0  0      0 129830096  32572 4354712    0    0     0     0 20084 32714  3  0 96  0  0
 0  0      0 129830096  32572 4354712    0    0     0     0 19362 32102  3  0 96  0  0
 4  0      0 129829280  32572 4354712    0    0     0     0 19292 32008  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 129830608  32572 4354712    0    0     0     0 19290 32450  3  0 97  0  0
 0  0      0 129829736  32572 4354712    0    0     0     0 19363 32146  3  0 96  0  0
 4  0      0 129830112  32580 4354712    0    0     0    40 19301 32088  3  0 96  0  0
 0  0      0 129830232  32580 4354712    0    0     0     0 19220 32011  3  0 97  0  0
 3  0      0 129830320  32580 4354712    0    0     0     0 19206 32043  3  0 96  0  0
 0  0      0 129829992  32580 4354712    0    0     0     0 19368 32108  3  0 96  0  0
 3  0      0 129830224  32580 4354712    0    0     0    52 19233 32069  3  0 97  0  0
 0  0      0 129830224  32580 4354712    0    0     0     0 19370 32104  3  0 96  0  0
 3  0      0 129829504  32580 4354712    0    0     0     0 20093 32661  3  0 96  0  0
13  0      0 129827408  32580 4354716    0    0     0     0 19504 32659  3  0 96  0  0
 4  0      0 129827856  32580 4354716    0    0     0     0 19164 31924  3  0 96  0  0
 3  0      0 129827984  32580 4354716    0    0     0     0 19422 31996  3  0 96  0  0
 0  0      0 129827984  32588 4354716    0    0     0    16 19273 32056  3  0 96  0  0
 0  0      0 129828112  32588 4354716    0    0     0     0 19399 32063  3  0 96  0  0
 7  0      0 129827984  32588 4354716    0    0     0     0 19170 31889  3  0 96  0  0
 2  0      0 129827984  32588 4354716    0    0     0     0 19549 32695  3  0 96  0  0
 0  0      0 129827984  32588 4354716    0    0     0     0 19308 32028  3  0 96  0  0
 2  0      0 129827984  32588 4354716    0    0     0     0 19903 32329  3  1 96  0  0
 1  0      0 129828480  32588 4354716    0    0     0     0 20045 32533  3  0 96  0  0
11  0      0 129826160  32588 4354620    0    0     0     0 19356 32100  3  0 96  0  0
 1  0      0 129826400  32588 4354620    0    0     0     0 19292 32073  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 129826408  32588 4354620    0    0     0     0 19481 32252  3  0 96  0  0
 0  0      0 129826528  32588 4354624    0    0     0     0 19450 32138  3  0 96  0  0
 3  0      0 129825912  32588 4354624    0    0     0     0 19434 32147  3  0 96  0  0
 2  0      0 129825912  32596 4354624    0    0     0    40 19478 32536  3  0 96  0  0
 7  0      0 129821984  32596 4354624    0    0     0     0 20641 32832  3  0 96  0  0
16  0      0 129824112  32596 4354624    0    0     0    16 19628 32188  3  0 96  0  0
 1  0      0 129824480  32596 4354624    0    0     0     0 19397 32064  3  0 96  0  0
