procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 122287568  40664 4697068    0    0     0     0    0    0 30  0 69  0  0
 2  1      0 122222736  42232 4742732    0    0  1547     0 46132 82307  4  1 94  1  0
 9  0      0 122200720  46972 4761728    0    0  4702     0 30864 82461  4  1 95  1  0
11  0      0 122169728  52324 4781516    0    0  5334     0 31316 88823  4  1 95  1  0
 3  1      0 122125344  58988 4813600    0    0  6631     0 33284 100421  4  1 95  1  0
 7  1      0 122017064  62604 4902088    0    0  3627     0 53828 109832  4  1 94  1  0
 7  0      0 121862128  62664 4968076    0    0    53    44 60560 140733  8  1 91  0  0
19  0      0 121832784  62664 4998812    0    0     0    16 46826 190874  9  1 90  0  0
 3  0      0 121818032  62664 5014596    0    0     0     0 43731 180135  8  1 90  0  0
17  0      0 121741344  62664 5029924    0    0     0     0 56884 179763  9  1 90  0  0
 2  0      0 121724744  62664 5044964    0    0     0     0 43371 172083  9  1 90  0  0
10  0      0 121706304  62664 5057316    0    0     0     0 42248 171218  9  1 90  0  0
 5  0      0 121704928  62668 5057664    0    0     0    44 38116 164527  9  1 90  0  0
10  0      0 121660752  62668 5087592    0    0     0     0 62868 176663 11  1 88  0  0
11  0      0 121616400  62668 5110472    0    0     0     0 49119 180241 10  1 89  0  0
10  0      0 121617680  62668 5110280    0    0     0     0 39635 164046 10  1 89  0  0
 9  0      0 121531320  62668 5122312    0    0     0     0 54982 160258 11  1 88  0  0
 7  0      0 121491344  62668 5160704    0    0     0     0 55565 186698 10  1 89  0  0
 8  0      0 121455376  62668 5169168    0    0     0     0 44915 167947 10  1 89  0  0
 9  0      0 121438624  62668 5168864    0    0     0     0 41416 162524 11  1 88  0  0
 1  0      0 121426208  62668 5168864    0    0     0     0 25082 52474  5  0 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 121424208  62668 5168372    0    0     0     0 23732 37615  3  0 96  0  0
 3  0      0 121424640  62668 5167644    0    0     0    24 22289 36697  3  0 96  0  0
 8  0      0 121425056  62668 5167644    0    0     0     0 21950 36283  3  0 96  0  0
 0  0      0 121424104  62668 5167644    0    0     0     0 22232 37029  3  0 96  0  0
12  0      0 121303296  62668 5171360    0    0     0     0 36180 57127  6  2 92  0  0
 7  1      0 121186672  62672 5171884    0    0     0    64 45284 69688  8  2 89  1  0
 2  1      0 121100024  62672 5171896    0    0     0     0 40683 71699  6  2 91  1  0
 8  1      0 121022808  62672 5171196    0    0     0     0 39120 69389  6  2 91  1  0
 4  0      0 120874016  62672 5178708    0    0     0     0 51014 85694  8  3 90  0  0
 3  0      0 120711184  62672 5190004    0    0     0     0 41802 68765  7  2 91  0  0
 7  0      0 120485568  62676 5238576    0    0     0    40 51893 66599  9  2 89  0  0
 4  0      0 120502128  62676 5130664    0    0     0     0 61259 102340  7  3 91  0  0
 6  0      0 120379088  62676 5174076    0    0     0     0 41900 67764  7  2 91  0  0
 8  0      0 120428656  62676 5032108    0    0     0     0 63508 106270  6  3 91  0  0
 4  1      0 120397968  62676 5032436    0    0     0     0 36888 59272  5  1 94  0  0
 4  0      0 120400448  62676 5032616    0    0     0     0 31086 48955  4  1 96  0  0
 1  0      0 120401312  62676 5032736    0    0     0    20 31351 49599  4  0 96  0  0
 7  0      0 120402912  62676 5032424    0    0     0     0 31742 49492  4  0 96  0  0
 2  0      0 120404320  62680 5032304    0    0     0    40 32936 51753  4  1 95  0  0
 9  0      0 120405280  62680 5032404    0    0     0     0 31800 49615  4  0 96  0  0
 1  0      0 120406304  62680 5032076    0    0     0     0 32448 49816  4  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 120407784  62680 5032188    0    0     0     4 31309 49298  4  0 96  0  0
 7  0      0 120409248  62680 5032296    0    0     0     0 31155 49078  4  0 96  0  0
 1  0      0 120406544  62680 5032360    0    0     0     0 32610 50500  4  1 96  0  0
 7  0      0 120410624  62684 5032484    0    0     0    40 31340 49670  4  1 96  0  0
 3  0      0 120413008  62684 5032588    0    0     0     0 30920 49032  4  0 96  0  0
11  0      0 120415336  62684 5032744    0    0     0     0 31596 49214  4  1 96  0  0
 7  0      0 120412952  62684 5032804    0    0     0     0 30852 48422  4  0 96  0  0
16  0      0 120411096  62684 5032864    0    0     0     0 33409 51736  5  1 95  0  0
 3  0      0 120408352  62684 5032972    0    0     0     0 31907 49228  4  0 95  0  0
 6  0      0 120406496  62684 5032992    0    0     0     0 31097 49183  4  0 96  0  0
 0  0      0 120403920  62688 5033096    0    0     0    44 30965 48727  4  1 96  0  0
 3  0      0 120401384  62688 5033204    0    0     0     0 30687 48968  4  0 96  0  0
 2  0      0 120396824  62688 5033356    0    0     0     0 32461 50264  4  0 96  0  0
 3  0      0 120394288  62688 5033444    0    0     0     0 33113 53066  4  1 95  0  0
 2  0      0 120391408  62688 5033548    0    0     0     0 31108 49050  4  0 96  0  0
 1  0      0 120388856  62688 5033656    0    0     0    16 30839 48977  4  0 96  0  0
 5  0      0 120387536  62688 5033632    0    0     0     0 30877 48603  4  0 96  0  0
 7  0      0 120382112  62688 5033796    0    0     0     0 32351 51407  4  0 95  0  0
 4  0      0 120379336  62688 5033936    0    0     0     0 31188 49578  4  0 96  0  0
 2  0      0 120375352  62688 5034040    0    0     0     0 31572 49921  4  1 96  0  0
11  0      0 120370832  62696 5034244    0    0     0    24 31358 49212  4  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 120370144  62696 5034296    0    0     0     0 31123 49376  4  0 96  0  0
 6  0      0 120361000  62696 5034448    0    0     0     0 32523 50277  4  1 95  0  0
 2  0      0 120357040  62696 5034368    0    0     0     0 31444 49855  4  0 95  0  0
 2  0      0 120354048  62696 5034472    0    0     0     0 31052 48959  4  0 96  0  0
 6  0      0 120350192  62704 5034564    0    0     0    40 30818 48896  4  1 96  0  0
